,freq,F_abs_amp
180,0.72,4.4965135937417315
181,0.724,4.743823422299544
182,0.728,4.987665221700135
183,0.732,5.225791058029214
184,0.736,5.456167662203291
185,0.74,5.677022995030638
186,0.744,5.886872873157249
187,0.748,6.084526130756194
188,0.752,6.269067791759654
189,0.756,6.43982187760355
190,0.76,6.5963005037570674
191,0.764,6.738145663898806
192,0.768,6.865064490261369
193,0.772,6.976761331643244
194,0.776,7.0728758585451175
195,0.78,7.152935340200651
196,0.784,7.216326646141049
197,0.788,7.2622908669330695
198,0.792,7.289943410503344
199,0.796,7.298319916166845
200,0.8,7.286444167776353
201,0.804,7.2534115231151475
202,0.808,7.198482296610841
203,0.812,7.121180707561143
204,0.8160000000000001,7.021391971419688
205,0.8200000000000001,6.899449165843409
206,0.8240000000000001,6.756203586452864
