,freq,F_abs_amp
177,0.708,23.03727747022813
178,0.712,20.879002721190737
179,0.716,19.009708691046324
180,0.72,17.401659620211923
181,0.724,16.02225490639211
182,0.728,14.836718887555074
183,0.732,13.811258057065547
184,0.736,12.915384548384598
185,0.74,12.123773578722684
186,0.744,11.417011406301482
187,0.748,10.781474358020846
188,0.752,10.208647178009766
189,0.756,9.69368486546659
190,0.76,9.234090692317544
191,0.764,8.828236709079949
192,0.768,8.474091285665038
193,0.772,8.168281812741574
194,0.776,7.9057992149650795
195,0.78,7.680344733168483
196,0.784,7.48484742801271
197,0.788,7.312044117359865
198,0.792,7.154950622357097
199,0.796,7.007239939883281
200,0.8,6.8634878091804
201,0.804,6.719232359552377
202,0.808,6.570976673279931
203,0.812,6.416197540881997
204,0.8160000000000001,6.253227916022541
205,0.8200000000000001,6.081212404168195
206,0.8240000000000001,5.900170500700678
207,0.8280000000000001,5.711019289025347
208,0.8320000000000001,5.515551026756949
209,0.836,5.316351698330478
210,0.84,5.116655316475298
211,0.844,4.920145500101679
212,0.848,4.73071203433739
213,0.852,4.552172591969083
214,0.856,4.387965124682368
215,0.86,4.240866846724879
